label;food_name;calories;carbs;protein;fat;sugar;sodium
ayam_goreng;Ayam Goreng;260;8;18;18;0;450
ayam_pop;Ayam Pop;200;2;20;12;0;300
bakso;Bakso;202;15;14;10;2;620
bebek_betutu;Bebek Betutu;310;6;22;24;1;520
daging_rendang;Daging Rendang;350;5;20;25;1;480
dendeng_batokok;Dendeng Batokok;410;7;33;28;2;680
gado_gado;Gado-Gado;190;18;6;10;5;320
gudeg;Gudeg;160;28;4;4;14;180
gulai_ikan;Gulai Ikan;220;4;18;14;1;420
gulai_tambusu;Gulai Tambusu;260;6;14;20;1;450
gulai_tunjang;Gulai Tunjang;300;3;12;25;0;500
ikan_goreng;Ikan Goreng;240;4;20;15;0;380
mie_goreng;Mie Goreng;300;40;9;12;3;520
nasi_goreng;Nasi Goreng;250;30;8;10;2;450
nasi_padang;Nasi Padang;320;28;12;18;3;600
pempek;Pempek;220;25;7;8;2;540
rawon;Rawon;190;6;14;12;1;430
rendang;Rendang;350;5;20;25;1;480
sate;Sate Ayam;280;10;18;15;3;520
soto;Soto Ayam;180;6;12;8;1;420
telur_balado;Telur Balado;210;5;10;16;2;360
telur_dadar;Telur Dadar;190;3;12;14;1;300
